tract_id,median_age
53001950100,43.6
53001950200,42.6
53001950300,23.7
53001950400,25.4
53001950500,25.5
53003960100,46.8
53003960200,56.4
53003960300,34.0
53003960400,38.8
53003960500,40.9
53003960600,47.8
53005010100,46.1
53005010201,42.3
53005010202,32.9
53005010300,32.2
53005010400,32.0
53005010500,27.7
53005010600,31.6
53005010701,44.4
53005010703,39.2
53005010705,38.3
53005010707,33.2
53005010708,39.9
53005010803,39.0
53005010805,43.0
53005010807,31.8
53005010809,35.1
53005010810,45.0
53005010811,43.3
53005010813,38.7
53005010814,36.1
53005010901,30.3
53005010902,29.0
53005011001,32.8
53005011002,28.6
53005011100,35.0
53005011200,24.8
53005011300,37.6
53005011401,29.9
53005011402,37.0
53005011501,38.9
53005011503,37.5
53005011504,38.7
53005011600,32.5
53005011700,36.3
53005011800,40.7
53005011900,40.3
53005012000,-
53007960100,51.0
53007960200,49.7
53007960300,40.4
53007960400,44.6
53007960500,42.9
53007960600,40.7
53007960700,47.4
53007960801,49.4
53007960802,38.7
53007961000,35.5
53007961100,28.5
53007961200,43.7
53007961301,49.1
53007961302,40.4
53009000200,45.1
53009000300,32.7
53009000400,49.5
53009000600,48.5
53009000700,41.4
53009000800,36.5
53009000900,36.2
53009001000,40.6
53009001100,37.6
53009001200,47.1
53009001300,49.4
53009001400,52.9
53009001500,49.8
53009001600,59.1
53009001700,60.8
53009001800,54.4
53009001900,61.5
53009002000,63.0
53009002100,49.8
53009002300,61.1
53009940000,28.2
53009990100,-
53011040101,32.4
53011040102,36.5
53011040201,48.5
53011040202,40.8
53011040203,42.8
53011040301,45.7
53011040302,36.7
53011040403,43.0
53011040407,31.8
53011040408,44.7
53011040409,49.2
53011040411,39.6
53011040412,40.1
53011040413,34.6
53011040414,30.7
53011040415,33.9
53011040416,41.1
53011040504,40.5
53011040505,43.4
53011040507,37.5
53011040508,38.6
53011040509,39.1
53011040510,47.9
53011040511,46.4
53011040603,46.1
53011040604,36.6
53011040605,40.3
53011040608,41.0
53011040609,38.4
53011040610,39.9
53011040703,37.1
53011040706,33.3
53011040707,38.9
53011040709,36.0
53011040710,34.3
53011040711,36.4
53011040712,34.7
53011040803,40.4
53011040805,44.8
53011040806,39.4
53011040808,42.5
53011040809,36.8
53011040810,34.0
53011040904,38.1
53011040905,47.0
53011040907,42.7
53011040908,40.7
53011040909,51.2
53011040910,38.8
53011041003,45.8
53011041005,32.5
53011041007,37.5
53011041008,41.9
53011041009,42.9
53011041010,36.9
53011041011,42.6
53011041104,34.3
53011041105,39.0
53011041107,42.1
53011041108,39.4
53011041110,33.0
53011041111,27.8
53011041112,33.1
53011041201,41.0
53011041203,34.6
53011041205,36.7
53011041206,38.4
53011041309,41.0
53011041310,60.5
53011041312,34.6
53011041313,27.4
53011041317,33.6
53011041318,34.4
53011041319,38.1
53011041320,33.6
53011041321,44.3
53011041322,32.8
53011041323,38.2
53011041325,39.7
53011041326,37.4
53011041327,36.2
53011041328,39.2
53011041329,41.3
53011041330,35.1
53011041331,32.2
53011041332,36.2
53011041333,38.3
53011041400,40.3
53011041500,39.7
53011041600,30.0
53011041700,30.8
53011041800,33.2
53011041900,41.7
53011042000,36.3
53011042100,36.8
53011042300,39.5
53011042400,46.4
53011042500,36.8
53011042600,42.6
53011042700,33.4
53011042800,44.0
53011042900,41.0
53011043000,38.1
53011043100,46.0
53013960200,50.2
53015000300,51.4
53015000400,47.0
53015000501,35.5
53015000502,30.8
53015000601,39.9
53015000602,55.0
53015000702,41.7
53015000703,51.9
53015000704,35.4
53015000800,46.2
53015000900,34.1
53015001000,37.6
53015001100,36.5
53015001200,43.1
53015001300,30.8
53015001501,47.1
53015001502,37.0
53015001600,47.1
53015001700,47.4
53015001800,46.7
53015001900,43.1
53015002001,50.7
53015002002,44.2
53015002100,42.0
53017950100,34.5
53017950200,46.4
53017950300,40.1
53017950400,39.4
53017950500,36.6
53017950600,41.4
53017950700,29.7
53017950800,33.7
53019940000,41.9
53019970100,49.0
53019970200,53.9
53021020100,22.9
53021020200,27.7
53021020300,30.6
53021020400,28.1
53021020501,40.7
53021020502,35.5
53021020601,28.8
53021020603,27.7
53021020605,32.4
53021020606,29.5
53021020700,39.0
53021020800,30.9
53021980100,-
53023970300,46.1
53025010100,50.7
53025010200,39.9
53025010300,38.6
53025010400,34.5
53025010500,38.1
53025010600,23.9
53025010700,41.7
53025010800,31.0
53025010901,38.3
53025010902,32.5
53025011000,36.3
53025011100,31.4
53025011200,38.9
53025011300,35.2
53025011401,32.4
53025011402,25.6
53027000200,60.1
53027000300,52.3
53027000400,43.6
53027000500,37.1
53027000600,46.3
53027000700,47.1
53027000800,47.9
53027000900,35.8
53027001000,30.9
53027001100,47.1
53027001200,34.7
53027001300,42.8
53027001400,43.9
53027001500,44.0
53027001600,45.9
53027940000,34.9
53027990000,-
53029970100,43.8
53029970200,22.7
53029970300,46.1
53029970400,32.5
