"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M"
"id","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female"
"1400000US53001950100","Census Tract 9501, Adams County, Washington","43.6","2.8","43.4","4.8","43.9","3.7"
"1400000US53001950200","Census Tract 9502, Adams County, Washington","42.6","6.8","44.0","6.5","41.5","9.6"
"1400000US53001950300","Census Tract 9503, Adams County, Washington","23.7","3.7","23.6","5.8","23.8","4.6"
"1400000US53001950400","Census Tract 9504, Adams County, Washington","25.4","1.3","24.6","1.1","27.0","3.1"
"1400000US53001950500","Census Tract 9505, Adams County, Washington","25.5","0.9","25.2","1.1","26.2","3.4"
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","46.8","5.2","46.2","5.3","47.1","6.9"
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","56.4","1.9","56.4","2.6","56.3","3.9"
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","34.0","3.9","34.7","4.8","33.5","3.9"
"1400000US53003960400","Census Tract 9604, Asotin County, Washington","38.8","4.1","38.4","4.5","41.3","6.3"
"1400000US53003960500","Census Tract 9605, Asotin County, Washington","40.9","4.7","34.2","3.0","47.6","13.6"
"1400000US53003960600","Census Tract 9606, Asotin County, Washington","47.8","3.8","48.6","4.8","46.9","3.6"
"1400000US53005010100","Census Tract 101, Benton County, Washington","46.1","3.8","44.0","5.4","47.6","3.5"
"1400000US53005010201","Census Tract 102.01, Benton County, Washington","42.3","3.2","45.3","4.6","39.5","4.4"
"1400000US53005010202","Census Tract 102.02, Benton County, Washington","32.9","2.6","32.5","2.6","34.1","5.8"
"1400000US53005010300","Census Tract 103, Benton County, Washington","32.2","2.4","30.1","3.4","34.0","5.2"
"1400000US53005010400","Census Tract 104, Benton County, Washington","32.0","2.3","31.6","2.3","33.4","2.8"
"1400000US53005010500","Census Tract 105, Benton County, Washington","27.7","2.2","26.2","2.3","28.8","1.7"
"1400000US53005010600","Census Tract 106, Benton County, Washington","31.6","1.6","31.1","1.9","32.4","2.4"
"1400000US53005010701","Census Tract 107.01, Benton County, Washington","44.4","4.9","41.9","11.6","44.4","3.5"
"1400000US53005010703","Census Tract 107.03, Benton County, Washington","39.2","1.8","37.4","6.7","39.8","3.9"
"1400000US53005010705","Census Tract 107.05, Benton County, Washington","38.3","1.4","38.5","2.4","38.3","1.8"
"1400000US53005010707","Census Tract 107.07, Benton County, Washington","33.2","3.7","35.0","5.2","30.7","4.5"
"1400000US53005010708","Census Tract 107.08, Benton County, Washington","39.9","1.8","42.3","2.2","38.4","2.8"
"1400000US53005010803","Census Tract 108.03, Benton County, Washington","39.0","2.6","38.3","3.5","39.6","3.2"
"1400000US53005010805","Census Tract 108.05, Benton County, Washington","43.0","3.2","43.7","3.7","41.4","3.6"
"1400000US53005010807","Census Tract 108.07, Benton County, Washington","31.8","8.1","31.8","16.9","31.7","7.4"
"1400000US53005010809","Census Tract 108.09, Benton County, Washington","35.1","3.7","33.9","4.6","36.1","3.8"
"1400000US53005010810","Census Tract 108.10, Benton County, Washington","45.0","4.9","43.1","7.2","46.8","5.6"
"1400000US53005010811","Census Tract 108.11, Benton County, Washington","43.3","3.2","46.8","3.7","40.1","3.1"
"1400000US53005010813","Census Tract 108.13, Benton County, Washington","38.7","1.7","35.2","4.0","41.2","4.8"
"1400000US53005010814","Census Tract 108.14, Benton County, Washington","36.1","2.1","35.9","3.6","36.1","2.8"
"1400000US53005010901","Census Tract 109.01, Benton County, Washington","30.3","2.4","32.8","4.4","29.6","2.4"
"1400000US53005010902","Census Tract 109.02, Benton County, Washington","29.0","2.1","28.5","2.9","29.9","2.6"
"1400000US53005011001","Census Tract 110.01, Benton County, Washington","32.8","1.9","32.5","3.4","35.7","11.7"
"1400000US53005011002","Census Tract 110.02, Benton County, Washington","28.6","2.3","28.7","3.6","28.6","3.3"
"1400000US53005011100","Census Tract 111, Benton County, Washington","35.0","2.9","35.7","3.7","34.4","3.9"
"1400000US53005011200","Census Tract 112, Benton County, Washington","24.8","2.4","21.8","3.2","28.7","2.4"
"1400000US53005011300","Census Tract 113, Benton County, Washington","37.6","2.7","36.6","3.6","39.8","4.4"
"1400000US53005011401","Census Tract 114.01, Benton County, Washington","29.9","6.6","36.6","7.1","28.0","4.2"
"1400000US53005011402","Census Tract 114.02, Benton County, Washington","37.0","2.7","34.7","3.3","41.2","5.3"
"1400000US53005011501","Census Tract 115.01, Benton County, Washington","38.9","4.7","37.6","5.7","39.9","5.4"
"1400000US53005011503","Census Tract 115.03, Benton County, Washington","37.5","2.8","37.3","3.2","37.6","3.6"
"1400000US53005011504","Census Tract 115.04, Benton County, Washington","38.7","3.4","39.6","6.1","37.9","3.4"
"1400000US53005011600","Census Tract 116, Benton County, Washington","32.5","10.3","38.3","12.2","28.4","11.5"
"1400000US53005011700","Census Tract 117, Benton County, Washington","36.3","3.4","33.2","4.7","40.8","8.5"
"1400000US53005011800","Census Tract 118, Benton County, Washington","40.7","4.6","43.7","9.8","40.0","4.2"
"1400000US53005011900","Census Tract 119, Benton County, Washington","40.3","3.8","40.8","4.9","37.7","6.7"
"1400000US53005012000","Census Tract 120, Benton County, Washington","-","**","-","**","-","**"
"1400000US53007960100","Census Tract 9601, Chelan County, Washington","51.0","4.9","53.0","4.7","46.9","7.7"
"1400000US53007960200","Census Tract 9602, Chelan County, Washington","49.7","3.8","49.9","4.2","49.1","5.1"
"1400000US53007960300","Census Tract 9603, Chelan County, Washington","40.4","4.6","43.1","6.8","39.2","4.1"
"1400000US53007960400","Census Tract 9604, Chelan County, Washington","44.6","15.4","31.0","21.1","49.0","12.1"
"1400000US53007960500","Census Tract 9605, Chelan County, Washington","42.9","4.9","44.0","4.1","40.7","7.4"
"1400000US53007960600","Census Tract 9606, Chelan County, Washington","40.7","4.1","38.1","1.7","43.9","3.7"
"1400000US53007960700","Census Tract 9607, Chelan County, Washington","47.4","2.6","45.4","5.5","49.3","3.8"
"1400000US53007960801","Census Tract 9608.01, Chelan County, Washington","49.4","2.5","49.2","3.4","49.6","5.3"
